holeName,holeType,topLatitude,topLongitude,groundSurface,azimuth,angle,bottomDepth,timeInterval_start,timeInterval_end,termination ,initialWaterDepth,24hrWater,caveInDepth,_rigDescription,hammerType,hammerEfficiency,miscID,drillMethod,rodType,Additives,misc
CPT-101,boring,36.83174,-76.1208,8.1,,,,,,,,,,,,,,,,,
CPT-102,boring,36.83148,-76.1204,8.5,,,,,,,,,,,,,,,,,
CPT-103,boring,36.83161,-76.1197,4.2,,,,,,,,,,,,,,,,,
CPT-104,CPT,36.83142,-76.1197,5.2,,,,,,,,,,,,,,,,,
CPT-401,,36.82401,-76.0758,6.1,,,,,,,,,,,,,,,,,
CPT-402,,36.8244,-76.0755,3.8,,,,,,,,,,,,,,,,,
CPT-403,,36.82487,-76.0761,6.5,,,,,,,,,,,,,,,,,
CPT-501,,36.8047,-76.0807,6.9,,,,,,,,,,,,,,,,,
CPT-502,,36.80488,-76.0805,7.3,,,,,,,,,,,,,,,,,
CPT-503,,36.80454,-76.0813,4.5,,,,,,,,,,,,,,,,,
B-1,,36.831919,-76.120058,7.9,,,,2018-04-04,2018-04-04,,6.0,,,CME 55,automatic,89.0,,,,,
B-2,,36.831747,-76.119917,6.3,,,,2018-04-03,2018-04-03,,6.0,,,CME 55,automatic,89.0,,,,,
B-3,,36.831347,-76.119652,4.4,,,,2018-04-02,2018-04-02,,5.0,,,CME 55,automatic,89.0,,,,,
B-4,,36.830969,-76.119704,6.3,,,,2018-12-12,2018-12-12,,8.5,,,CME 55,automatic,89.0,,,,,
LW-1,,36.831397,-76.119388,-4.8,,,,2019-01-04,2019-01-04,,0.0,,,CME 55,automatic,89.0,,,,,
DD-A,,36.8322,-76.1161,7.4,,,,2019-02-14,2019-02-14,,7.0,,,CME 55,automatic,89.0,,,,,
DD-B,,36.8311,-76.1201,8.8,,,,2019-02-14,2019-02-14,,6.0,,,CME 55,automatic,89.0,,,,,
DD-D,,36.8282,-76.1281,8.3,,,,2019-02-15,2019-02-15,,5.0,,,CME 55,automatic,89.0,,,,,
DD-E,,36.8261,-76.1263,11.6,,,,2019-02-15,2019-02-15,,6.0,,,CME 55,automatic,89.0,,,,,
PS-01,,36.8042,-76.0807,8.1,,,,2018-02-16,2018-02-16,,6.5,,,CME 55,automatic,89.0,,,,,
PS-02,,36.8036,-76.0769,6.1,,,,2018-02-16,2018-02-16,,5.7,,,CME 55,automatic,89.0,,,,,
PS-03,,36.802,-76.0762,6.0,,,,2018-02-06,2018-02-06,,5.75,,,CME 55,automatic,89.0,,,,,
PS-04,,36.8224,-76.07736,6.8,,,,2018-02-06,2018-02-06,,5.5,,,CME 55,automatic,89.0,,,,,
PS-05,,36.823042,-76.078,5.8,,,,2018-02-06,2018-02-06,,4.0,,,CME 55,automatic,89.0,,,,,
PS-06,,36.82403,-76.0754,5.9,,,,2018-03-16,2018-03-16,,5.0,,,CME 55,automatic,89.0,,,,,
S-1A,,36.825953,-76.12262,7.6,,,,2022-08-01,2022-08-01,,8.0,,,CME 55,automatic,89.0,,,,,
S-1B,,36.827509,-76.121251,7.2,,,,2022-08-01,2022-08-01,,7.0,,,CME 55,automatic,89.0,,,,,
DD-C,,36.827767,-76.1207,9.9,,,,2019-02-14,2019-02-14,,8.0,,,CME 55,automatic,89.0,,,,,
DD-B1,,36.831136,-76.12013,7.4,,,,,,,,,,CME 55,automatic,89.0,,,,,
DD-B2,,36.831137,-76.12014,8.7,,,,,,,,,,CME 55,automatic,89.0,,,,,
S-2A,,36.82484,-76.076133,8.7,,,,,,,,,,CME 55,automatic,89.0,,,,,
S-2B,,36.824445,-76.075279,9.9,,,,,,,,,,CME 55,automatic,89.0,,,,,
S-3A,,36.804444,-76.080753,8.3,,,,,,,,,,CME 55,automatic,89.0,,,,,
S-4A,,36.808119,-76.092347,11.6,,,,,,,,,,CME 55,automatic,89.0,,,,,
BAY-401,,36.823582,-76.076316,6.0,,,,2022-08-04,2022-08-04,,7.0,,,CME 55,automatic,89.0,,,,,
BAY-402,,36.824256,-76.075703,5.9,,,,2022-08-02,2022-08-02,,6.0,,,CME 55,automatic,89.0,,,,,
BMP-401,,36.822989,-76.075825,7.3,,,,2022-08-09,2022-08-09,,6.0,,,CME 55,automatic,89.0,,,,,
C-401,,36.824381,-76.074599,9.9,,,,2022-08-03,2022-08-03,,8.0,,,CME 55,automatic,89.0,,,,,
