Hole Name,Sample Name,topDepth,bottomDepth,sampleMethod,USCS,SPTMethod,SPT_1,SPT_2,SPT_3,SPT_4,recovery,moistureMethod,moistureContent,plasticityMethod,PL,LL,PI,passing200,pocketPenReading,torvaneReading,color,primaryComp,secondaryComp,secondaryCompMod,organicContent,visualMoisture,AASHTO,Misc,Geo_ID
B-1,,0.0,2.0,,CL,,2.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,
B-1,,2.0,4.0,,CL,,5.0,6.0,6.0,7.0,,,15.0,,12.0,24.0,12.0,70.0,,,,,,,,,,,
B-1,,4.0,6.0,,SP,,9.0,10.0,10.0,11.0,,,,,,,,,,,,,,,,,,,
B-1,,6.0,8.0,,SM,,12.0,13.0,13.0,14.0,,,,,,,,,,,,,,,,,,,
B-1,,8.0,10.0,,SP-SC,,10.0,11.0,11.0,12.0,,,20.0,,,,,7.0,,,,,,,,,,,
B-1,,13.0,15.0,,SP-SM,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
B-1,,18.0,20.0,,SM,,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
B-1,,23.0,25.0,,SM,,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
B-1,,28.0,30.0,,SM,,4.0,5.0,5.0,6.0,,,,,,,,,,,,,,,,,,,
B-1,,33.0,35.0,,SM,,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
B-1,,38.0,40.0,,SM,,0.0,1.0,1.0,2.0,,,32.0,,,,,10.0,,,,,,,,,,,
B-1,,43.0,45.0,,CL,,-1.0,0.0,0.0,1.0,,,,,13.0,36.0,23.0,60.0,,,,,,,,,,,
B-1,,48.0,50.0,,SC,,-1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
B-1,,53.0,55.0,,SC,,-1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
B-1,,58.0,60.0,,SM,,1.0,2.0,2.0,3.0,,,27.0,,,,,20.0,,,,,,,,,,,
B-1,,63.0,65.0,,SM,,4.0,5.0,5.0,6.0,,,,,,,,,,,,,,,,,,,
B-1,,68.0,70.0,,SM,,19.0,20.0,20.0,21.0,,,,,,,,,,,,,,,,,,,
B-1,,73.0,75.0,,CL,,15.0,16.0,16.0,17.0,,,,,,,,,,,,,,,,,,,
B-1,,78.0,80.0,,CL,,4.0,5.0,5.0,6.0,,,,,,,,,,,,,,,,,,,
B-1,,83.0,85.0,,CL,,5.0,6.0,6.0,7.0,,,29.0,,21.0,41.0,20.0,60.0,,,,,,,,,,,
B-1,,88.0,90.0,,SM,,4.0,5.0,5.0,6.0,,,,,,,,,,,,,,,,,,,
B-1,,93.0,95.0,,SM,,3.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,
B-1,,98.0,100.0,,SM,,7.0,8.0,8.0,9.0,,,,,,,,,,,,,,,,,,,
B-1,,103.0,105.0,,SC-SM,,6.0,7.0,7.0,8.0,,,30.0,,,,,20.0,,,,,,,,,,,
B-1,,108.0,110.0,,SC-SM,,8.0,9.0,9.0,10.0,,,,,,,,,,,,,,,,,,,
B-1,,113.0,115.0,,SM,,8.0,9.0,9.0,10.0,,,,,,,,,,,,,,,,,,,
B-1,,118.0,120.0,,SM,,14.0,15.0,15.0,16.0,,,,,,,,,,,,,,,,,,,
B-1,,123.0,125.0,,SM,,13.0,14.0,14.0,15.0,,,,,,,,,,,,,,,,,,,
B-1,,128.0,130.0,,SP-SM,,15.0,16.0,16.0,17.0,,,,,,,,,,,,,,,,,,,
B-1,,133.0,135.0,,SP-SM,,18.0,19.0,19.0,20.0,,,,,,,,,,,,,,,,,,,
B-1,,138.0,140.0,,SP-SM,,27.0,28.0,28.0,29.0,,,,,,,,,,,,,,,,,,,
B-1,,143.0,145.0,,SP-SM,,17.0,18.0,18.0,19.0,,,,,,,,,,,,,,,,,,,
B-1,,148.0,150.0,,SP-SM,,22.0,23.0,23.0,24.0,,,,,,,,,,,,,,,,,,,
B-2,,0.0,2.0,,CL,,2.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,
B-2,,2.0,4.0,,SM,,7.0,8.0,8.0,9.0,,,,,,,,,,,,,,,,,,,
B-2,,4.0,6.0,,SM,,7.0,8.0,8.0,9.0,,,,,,,,,,,,,,,,,,,
B-2,,6.0,8.0,,SM,,8.0,9.0,9.0,10.0,,,,,,,,,,,,,,,,,,,
B-2,,8.0,10.0,,SM,,2.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,
B-2,,13.0,15.0,,SP,,9.0,10.0,10.0,11.0,,,,,,,,,,,,,,,,,,,
B-2,,18.0,20.0,,SM,,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
B-2,,23.0,25.0,,SM,,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
B-2,,28.0,30.0,,SM,,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
B-2,,33.0,35.0,,SM,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
B-2,,38.0,40.0,,SM,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
B-2,,43.0,45.0,,SC,,-1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
B-2,,48.0,50.0,,SC,,-1.0,0.0,0.0,1.0,,,,,21.0,31.0,10.0,30.0,,,,,,,,,,,
B-2,,53.0,55.0,,SM,,-1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
B-2,,58.0,60.0,,SM,,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
B-2,,63.0,65.0,,SM,,6.0,7.0,7.0,8.0,,,25.0,,,,,20.0,,,,,,,,,,,
B-2,,68.0,70.0,,SP-SM,,10.0,11.0,11.0,12.0,,,,,,,,,,,,,,,,,,,
B-2,,73.0,75.0,,CL,,4.0,5.0,5.0,6.0,,,28.0,,22.0,38.0,16.0,70.0,,,,,,,,,,,
B-2,,78.0,80.0,,CL,,4.0,5.0,5.0,6.0,,,29.0,,17.0,40.0,23.0,80.0,,,,,,,,,,,
B-2,,83.0,85.0,,SC,,6.0,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,
B-2,,88.0,90.0,,SC,,5.0,6.0,6.0,7.0,,,24.0,,11.0,22.0,11.0,30.0,,,,,,,,,,,
B-2,,93.0,95.0,,SC,,5.0,6.0,6.0,7.0,,,,,,,,,,,,,,,,,,,
B-2,,98.0,100.0,,SC,,8.0,9.0,9.0,10.0,,,,,,,,,,,,,,,,,,,
B-2,,103.0,105.0,,SC,,9.0,10.0,10.0,11.0,,,,,,,,,,,,,,,,,,,
B-2,,108.0,110.0,,SC,,10.0,11.0,11.0,12.0,,,,,,,,,,,,,,,,,,,
B-2,,113.0,115.0,,SM,,9.0,10.0,10.0,11.0,,,,,,,,,,,,,,,,,,,
B-2,,118.0,120.0,,SM,,17.0,18.0,18.0,19.0,,,,,,,,,,,,,,,,,,,
B-2,,123.0,125.0,,SM,,23.0,24.0,24.0,25.0,,,21.0,,,,,30.0,,,,,,,,,,,
B-2,,128.0,130.0,,SP-SM,,22.0,23.0,23.0,24.0,,,,,,,,,,,,,,,,,,,
B-2,,133.0,135.0,,SP-SM,,15.0,16.0,16.0,17.0,,,,,,,,,,,,,,,,,,,
B-2,,138.0,140.0,,SP-SM,,28.0,29.0,29.0,30.0,,,,,,,,,,,,,,,,,,,
B-2,,143.0,145.0,,SP-SM,,12.0,13.0,13.0,14.0,,,,,,,,,,,,,,,,,,,
B-2,,148.0,150.0,,SM,,19.0,20.0,20.0,21.0,,,,,,,,,,,,,,,,,,,
B-3,,0.0,2.0,,CL,,3.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,
B-3,,2.0,4.0,,CL,,5.0,6.0,6.0,7.0,,,,,,,,,,,,,,,,,,,
B-3,,4.0,6.0,,SM,,6.0,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,
B-3,,6.0,8.0,,SC,,5.0,6.0,6.0,7.0,,,,,,,,,,,,,,,,,,,
B-3,,8.0,10.0,,SM,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
B-3,,13.0,15.0,,SP,,11.0,12.0,12.0,13.0,,,,,,,,,,,,,,,,,,,
B-3,,18.0,20.0,,SM,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
B-3,,23.0,25.0,,SM,,0.0,1.0,1.0,2.0,,,31.0,,,,,20.0,,,,,,,,,,,
B-3,,28.0,30.0,,SM,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
B-3,,33.0,35.0,,SM,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
B-3,,38.0,40.0,,SM,,-1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
B-3,,43.0,45.0,,CL,,-1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
B-3,,48.0,50.0,,CL,,0.0,1.0,1.0,2.0,,,31.0,,17.0,31.0,14.0,50.0,,,,,,,,,,,
B-3,,53.0,55.0,,CL,,-1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
B-3,,58.0,60.0,,SM,,3.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,
B-3,,63.0,65.0,,SM,,7.0,8.0,8.0,9.0,,,26.0,,,,,30.0,,,,,,,,,,,
B-3,,68.0,70.0,,CL,,9.0,10.0,10.0,11.0,,,,,,,,,,,,,,,,,,,
B-3,,73.0,75.0,,CL,,3.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,
B-3,,78.0,80.0,,CL,,4.0,5.0,5.0,6.0,,,30.0,,20.0,37.0,17.0,80.0,,,,,,,,,,,
B-3,,83.0,85.0,,SC,,5.0,6.0,6.0,7.0,,,,,,,,,,,,,,,,,,,
B-3,,88.0,90.0,,SM,,6.0,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,
B-3,,93.0,95.0,,SM,,4.0,5.0,5.0,6.0,,,,,,,,,,,,,,,,,,,
B-3,,98.0,100.0,,SM,,8.0,9.0,9.0,10.0,,,,,,,,,,,,,,,,,,,
B-3,,103.0,105.0,,SM,,11.0,12.0,12.0,13.0,,,28.0,,,,,20.0,,,,,,,,,,,
B-3,,108.0,110.0,,SM,,9.0,10.0,10.0,11.0,,,,,,,,,,,,,,,,,,,
B-3,,113.0,115.0,,CL,,9.0,10.0,10.0,11.0,,,,,,,,,,,,,,,,,,,
B-3,,118.0,120.0,,SP-SM,,20.0,21.0,21.0,22.0,,,,,,,,,,,,,,,,,,,
B-3,,123.0,125.0,,SP-SM,,17.0,18.0,18.0,19.0,,,20.0,,,,,20.0,,,,,,,,,,,
B-3,,128.0,130.0,,SP-SM,,17.0,18.0,18.0,19.0,,,,,,,,,,,,,,,,,,,
B-3,,133.0,135.0,,SP-SM,,21.0,22.0,22.0,23.0,,,,,,,,,,,,,,,,,,,
B-3,,138.0,140.0,,SP-SM,,20.0,21.0,21.0,22.0,,,,,,,,,,,,,,,,,,,
B-3,,143.0,145.0,,SP-SM,,21.0,22.0,22.0,23.0,,,,,,,,,,,,,,,,,,,
B-3,,148.0,150.0,,SC,,24.0,25.0,25.0,26.0,,,,,,,,,,,,,,,,,,,
B-4,,0.0,2.0,,CL,,3.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,
B-4,,2.0,4.0,,CL,,2.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,
