_Sample_ID,_Method_ID,CPT Name,Depth,Tip Stress UNC_qc,Sleeve Stress_fs,Pore Pressure_u
,,CPT-101,0.066,1.56,0.1574,0.1812
,,CPT-101,0.131,12.44,0.2138,0.6375
,,CPT-101,0.213,26.56,0.2391,0.0562
,,CPT-101,0.262,36.13,0.2509,0.0562
,,CPT-101,0.328,54.55,0.2695,0.0437
,,CPT-101,0.394,65.44,0.3515,0.025
,,CPT-101,0.459,81.11,0.4514,0.0688
,,CPT-101,0.525,85.66,0.4616,0.1187
,,CPT-101,0.591,88.41,0.4723,0.0562
,,CPT-101,0.656,93.79,0.5295,0.0062
,,CPT-101,0.722,89.61,0.5687,-0.0188
,,CPT-101,0.787,88.41,0.5362,0.025
,,CPT-101,0.853,85.42,0.4119,0.0125
,,CPT-101,0.919,81.35,0.3371,-0.0063
,,CPT-101,0.984,75.37,0.3653,-0.0125
,,CPT-101,1.05,70.11,0.3776,-0.0125
,,CPT-101,1.115,66.88,0.4,0.0
,,CPT-101,1.181,63.05,0.4255,0.0187
,,CPT-101,1.247,61.49,0.4403,0.0187
,,CPT-101,1.312,60.77,0.4492,0.0312
,,CPT-101,1.378,59.22,0.4492,0.0187
,,CPT-101,1.444,58.5,0.4483,-0.0188
,,CPT-101,1.509,56.71,0.4603,-0.0188
,,CPT-101,1.575,50.84,0.4881,-0.0063
,,CPT-101,1.64,46.66,0.5673,-0.0188
,,CPT-101,1.706,40.08,0.658,0.0187
,,CPT-101,1.772,34.69,0.7,-0.0125
,,CPT-101,1.837,33.5,0.7374,0.0125
,,CPT-101,1.903,31.7,0.7631,0.0
,,CPT-101,1.969,29.79,0.7564,0.0
,,CPT-101,2.034,26.56,0.7286,-0.0313
,,CPT-101,2.1,24.53,0.675,0.0
,,CPT-101,2.165,22.13,0.6196,-0.0188
,,CPT-101,2.231,19.98,0.5728,0.0
,,CPT-101,2.297,19.38,0.5212,0.0125
,,CPT-101,2.362,18.9,0.4699,0.0
,,CPT-101,2.428,17.59,0.4234,-0.0188
,,CPT-101,2.493,16.51,0.3877,-0.0125
,,CPT-101,2.559,15.19,0.3578,-0.0125
,,CPT-101,2.625,13.76,0.3403,-0.0188
,,CPT-101,2.69,15.07,0.3332,-0.0313
,,CPT-101,2.756,13.28,0.3332,-0.025
,,CPT-101,2.822,14.95,0.3392,-0.025
,,CPT-101,2.887,20.1,0.3582,-0.0625
,,CPT-101,2.953,27.28,0.4006,-0.0438
,,CPT-101,3.018,34.34,0.4432,0.0
,,CPT-101,3.084,39.36,0.4664,0.0
,,CPT-101,3.15,40.32,0.4805,0.0
,,CPT-101,3.215,39.84,0.4878,-0.0125
,,CPT-101,3.281,40.32,0.5137,-0.0125
,,CPT-101,3.363,38.88,0.5811,-0.0125
,,CPT-101,3.428,40.32,0.6431,-0.0063
,,CPT-101,3.494,40.68,0.687,-0.0063
,,CPT-101,3.56,39.96,0.7439,0.0062
,,CPT-101,3.625,38.76,0.7774,-0.0063
,,CPT-101,3.691,38.16,0.7479,0.0562
,,CPT-101,3.757,37.69,0.73,-0.0438
,,CPT-101,3.822,37.8,0.7266,0.0187
,,CPT-101,3.888,32.18,0.7273,-0.0625
,,CPT-101,3.953,29.31,0.7403,0.0
,,CPT-101,4.019,29.79,0.756,0.0375
,,CPT-101,4.085,29.43,0.7675,0.05
,,CPT-101,4.15,26.44,0.7642,0.1875
,,CPT-101,4.216,26.32,0.6885,0.05
,,CPT-101,4.281,23.69,0.5839,0.0187
,,CPT-101,4.347,22.13,0.5298,-0.0375
,,CPT-101,4.413,21.29,0.4983,-0.0688
,,CPT-101,4.478,18.54,0.4551,-0.0281
,,CPT-101,4.544,18.32,0.4102,0.0812
,,CPT-101,4.61,14.48,0.3943,0.1
,,CPT-101,4.675,13.64,0.4223,-0.0313
,,CPT-101,4.741,14.0,0.454,-0.0063
,,CPT-101,4.806,15.19,0.4505,-0.0438
,,CPT-101,4.872,13.28,0.4492,0.0437
,,CPT-101,4.938,10.65,0.4261,0.075
,,CPT-101,5.003,12.8,0.3995,0.1
,,CPT-101,5.069,11.84,0.3977,0.1312
,,CPT-101,5.135,5.62,0.3977,0.1312
,,CPT-101,5.2,7.78,0.3977,0.1344
,,CPT-101,5.266,10.41,0.3533,0.3187
,,CPT-101,5.331,15.31,0.2942,0.1375
,,CPT-101,5.397,14.24,0.2698,0.1375
,,CPT-101,5.463,15.49,0.2368,0.1
,,CPT-101,5.528,14.95,0.2163,0.5563
,,CPT-101,5.594,15.67,0.1967,0.4688
,,CPT-101,5.659,24.17,0.1753,0.2562
,,CPT-101,5.725,38.16,0.1753,0.0875
,,CPT-101,5.791,42.83,0.1761,0.0844
,,CPT-101,5.856,43.91,0.1762,0.075
,,CPT-101,5.922,43.79,0.1719,0.0812
,,CPT-101,5.988,39.48,0.1658,0.0812
,,CPT-101,6.053,36.25,0.1631,0.0812
,,CPT-101,6.119,30.51,0.1725,0.0812
,,CPT-101,6.184,23.93,0.1925,0.075
,,CPT-101,6.25,19.62,0.2152,0.075
,,CPT-101,6.316,14.0,0.2379,0.0688
,,CPT-101,6.381,9.09,0.2563,0.0625
,,CPT-101,6.447,5.86,0.2497,0.0812
,,CPT-101,6.512,4.67,0.2116,0.0875
,,CPT-101,6.578,3.23,0.1653,0.1125
,,CPT-101,6.644,2.27,0.1311,0.1125
,,CPT-101,6.709,1.56,0.0981,0.2687
,,CPT-101,6.775,1.44,0.0605,0.3937
,,CPT-101,6.841,1.44,0.0299,0.4688
,,CPT-101,6.906,1.91,0.0161,0.5187
,,CPT-101,6.972,2.03,0.0119,0.5187
,,CPT-101,7.037,1.67,0.0121,0.4375
,,CPT-101,7.103,2.03,0.0217,0.5281
,,CPT-101,7.169,0.84,0.039,0.5375
,,CPT-101,7.234,2.03,0.0532,0.9
,,CPT-101,7.3,4.19,0.0541,0.6875
,,CPT-101,7.365,4.19,0.0592,0.4
,,CPT-101,7.431,3.35,0.0731,0.35
,,CPT-101,7.497,2.15,0.076,0.4375
,,CPT-101,7.562,1.79,0.0749,0.5687
,,CPT-101,7.628,1.91,0.076,0.6
,,CPT-101,7.694,2.39,0.0775,0.6375
,,CPT-101,7.759,2.75,0.0854,0.6375
,,CPT-101,7.825,2.75,0.0864,1.1937
,,CPT-101,7.89,2.75,0.0872,0.6375
,,CPT-101,7.956,2.75,0.0907,0.6375
,,CPT-101,8.022,2.87,0.089,0.7187
,,CPT-101,8.087,3.23,0.0821,0.6813
,,CPT-101,8.153,2.99,0.0742,0.55
,,CPT-101,8.219,2.51,0.0732,0.6562
,,CPT-101,8.284,2.15,0.0793,0.5938
,,CPT-101,8.35,1.79,0.0811,0.5687
,,CPT-101,8.415,1.67,0.0802,0.6125
,,CPT-101,8.481,1.91,0.0802,0.6375
,,CPT-101,8.547,2.03,0.0811,0.6187
,,CPT-101,8.612,2.15,0.0974,0.6438
,,CPT-101,8.678,2.15,0.1125,0.6562
,,CPT-101,8.743,2.27,0.1347,0.6687
,,CPT-101,8.809,2.51,0.1741,0.6813
,,CPT-101,8.875,2.87,0.1901,0.7
,,CPT-101,8.94,5.62,0.1859,0.8188
,,CPT-101,9.006,5.98,0.1746,0.4812
,,CPT-101,9.072,2.39,0.1649,0.8313
,,CPT-101,9.137,1.32,0.1443,0.9438
,,CPT-101,9.203,1.32,0.0983,0.8437
,,CPT-101,9.268,1.32,0.0647,0.825
,,CPT-101,9.334,1.32,0.0627,0.9125
,,CPT-101,9.4,1.56,0.0654,0.875
,,CPT-101,9.465,1.79,0.0663,0.8875
,,CPT-101,9.531,2.39,0.0732,0.8812
,,CPT-101,9.596,2.75,0.0828,0.8625
,,CPT-101,9.662,3.11,0.0906,0.7813
,,CPT-101,9.728,3.23,0.0959,0.7187
,,CPT-101,9.793,3.35,0.1011,0.7125
,,CPT-101,9.859,3.11,0.1072,0.7062
,,CPT-101,9.925,3.35,0.1219,0.7313
,,CPT-101,9.99,2.99,0.1437,0.7875
,,CPT-101,10.056,3.35,0.1586,0.7813
,,CPT-101,10.121,4.19,0.1614,0.7625
,,CPT-101,10.187,4.55,0.1545,0.6187
,,CPT-101,10.253,3.83,0.1432,0.375
,,CPT-101,10.318,2.99,0.1335,0.6281
,,CPT-101,10.384,2.15,0.1325,0.5625
,,CPT-101,10.449,1.91,0.1471,0.6375
,,CPT-101,10.515,1.56,0.1639,0.6875
,,CPT-101,10.581,1.56,0.1675,0.7062
,,CPT-101,10.646,3.35,0.1709,0.9375
,,CPT-101,10.712,6.22,0.1719,1.2938
,,CPT-101,10.778,9.57,0.1684,0.7062
,,CPT-101,10.843,9.33,0.1726,0.3313
,,CPT-101,10.909,6.7,0.1805,0.375
